Employee_ID,Employee_Name,Department,Role,Base_Salary,Overtime_Hours,Overtime_Pay,Bonuses,Deductions,Net_Pay
31,Employee_190,Sales,Sales Executive,107110.25,2.36,182.29,11565.45,14995.52,103862.47
32,Employee_399,Sales,Sales Executive,89522.7,0.13,8.39,17122.16,11870.4,94782.85
33,Employee_246,Finance,Accountant,81605.5,0.43,25.31,7741.31,10197.44,79174.68
34,Employee_226,Engineering,DevOps Engineer,114540.56,14.64,1209.28,8296.34,14859.81,109186.37
35,Employee_158,Product,UI/UX Designer,118293.54,16.03,1367.48,393.49,14546.61,105507.9
36,Employee_344,Sales,Account Manager,97937.69,17.34,1224.69,10318.9,6490.56,102990.72
37,Employee_143,Product,UI/UX Designer,112938.48,7.71,627.95,14534.01,13525.58,114574.86
38,Employee_376,Customer Support,Support Specialist,58931.35,5.76,244.79,3423.22,2964.11,59635.25
39,Employee_345,Product,Product Manager,135486.09,11.14,1088.45,12815.26,9146.57,140243.23
40,Employee_21,Marketing,Marketing Manager,101228.5,17.84,1302.34,3452.55,14289.93,91693.46
41,Employee_3,Customer Support,Support Specialist,50014.1,4.46,160.86,6668.55,3472.41,53371.1
42,Employee_203,Sales,Account Manager,96305.12,15.08,1047.32,15344.58,8874.08,103822.94
43,Employee_449,Finance,Financial Analyst,84092.57,16.21,983.03,6899.19,11857.73,80117.06
44,Employee_399,Sales,Sales Executive,89522.7,14.12,911.58,1481.78,8746.14,83169.92
45,Employee_321,Sales,Sales Executive,87841.57,3.42,216.65,8712.35,12243.27,84527.3
46,Employee_387,Marketing,SEO Specialist,68055.14,15.73,772.0,6731.54,8236.53,67322.15
47,Employee_187,Product,UI/UX Designer,96225.14,10.54,731.4,3136.15,10830.12,89262.57
48,Employee_284,HR,HR Manager,73448.53,2.36,125.0,12162.34,9660.24,76075.63
49,Employee_418,HR,HR Manager,80728.98,11.02,641.56,15286.2,10943.91,85712.83
50,Employee_40,Engineering,Software Engineer,123464.64,19.91,1772.73,16619.42,13476.29,128380.5
51,Employee_296,Marketing,Marketing Manager,106087.73,17.47,1336.55,2549.47,15834.41,94139.34
52,Employee_422,Engineering,DevOps Engineer,115836.27,3.58,299.06,9666.62,6836.41,118965.54
53,Employee_122,Product,Product Manager,148996.86,4.83,518.98,25680.66,19478.72,155717.78
54,Employee_202,Engineering,Data Scientist,114994.97,19.32,1602.19,21517.47,8483.58,129631.05
55,Employee_133,Customer Support,Customer Success Manager,86270.51,1.69,105.14,14299.42,6171.32,94503.75
56,Employee_263,Finance,Accountant,68914.7,19.43,965.63,7247.88,7688.95,69439.26
57,Employee_476,Product,Product Manager,148152.58,11.16,1192.34,21943.89,13690.61,157598.2
58,Employee_376,Customer Support,Support Specialist,58931.35,16.13,685.5,6047.26,5832.46,59831.65
59,Employee_399,Sales,Sales Executive,89522.7,17.18,1109.13,3865.78,11179.63,83317.98
60,Employee_109,Engineering,Data Scientist,137639.01,6.18,613.42,25524.82,15586.46,148190.79
61,Employee_330,Product,Product Manager,137055.41,18.29,1807.75,8088.0,14067.27,132883.89
62,Employee_316,Finance,Financial Analyst,74949.96,8.68,469.16,1549.51,7978.76,68989.87
63,Employee_439,Product,Product Manager,119218.15,11.47,986.13,13413.21,8422.16,125195.33
64,Employee_447,Engineering,DevOps Engineer,131328.68,11.53,1091.99,6353.33,7537.91,131236.09
65,Employee_73,Customer Support,Support Specialist,68474.48,1.82,89.87,11956.23,9881.8,70638.78
66,Employee_478,Sales,Account Manager,101398.85,0.44,32.17,4916.53,8916.15,97431.4
67,Employee_421,Engineering,Data Scientist,100666.63,8.1,588.03,16911.45,10567.4,107598.71
68,Employee_198,Sales,Sales Executive,75782.74,0.35,19.13,2405.07,8391.43,69815.51
69,Employee_399,Sales,Sales Executive,89522.7,8.37,540.36,13548.42,8987.73,94623.75
70,Employee_185,Customer Support,Support Specialist,60047.4,17.96,777.73,10515.38,6379.93,64960.58
71,Employee_72,Engineering,DevOps Engineer,122787.5,4.09,362.16,20107.65,15358.41,127898.9
72,Employee_117,Finance,Financial Analyst,83711.44,15.0,905.53,11614.18,12348.14,83883.01
73,Employee_157,Engineering,DevOps Engineer,119119.41,11.3,970.71,5738.71,12384.09,113444.74
74,Employee_304,Finance,Accountant,63297.68,6.07,277.08,11767.84,8523.9,66818.7
75,Employee_81,Marketing,Marketing Manager,85981.08,6.7,415.44,10361.28,6490.72,90267.08
76,Employee_277,Customer Support,Customer Success Manager,88147.67,6.79,431.63,2999.47,12648.39,78930.38
77,Employee_396,Sales,Sales Executive,98725.32,7.54,536.82,2239.37,7493.87,94007.64
78,Employee_126,Engineering,DevOps Engineer,118802.64,9.87,845.61,665.48,15588.24,104725.49
79,Employee_418,HR,HR Manager,80728.98,14.81,862.21,7310.59,6185.66,82716.12
80,Employee_447,Engineering,DevOps Engineer,131328.68,13.38,1267.2,19725.64,15124.38,137197.14
81,Employee_223,Engineering,Software Engineer,127177.16,4.81,441.15,13430.46,9507.67,131541.1
82,Employee_13,Engineering,DevOps Engineer,127605.42,16.02,1474.21,24708.0,11802.74,141984.89
83,Employee_384,Sales,Sales Executive,73186.37,19.53,1030.77,11929.52,8470.72,77675.94
84,Employee_351,Finance,Financial Analyst,80067.6,11.18,645.55,9788.76,11209.95,79291.96
85,Employee_94,Sales,Sales Executive,94959.67,16.22,1110.75,10094.22,8944.23,97220.41
86,Employee_96,Sales,Account Manager,105616.84,9.08,691.59,20628.78,6846.63,120090.58
87,Employee_70,Customer Support,Support Specialist,63171.57,11.97,545.31,1726.74,7683.16,57760.46
88,Employee_190,Sales,Sales Executive,107110.25,7.82,604.04,6178.08,14509.58,99382.79
89,Employee_403,Customer Support,Customer Success Manager,65946.59,7.97,379.03,7692.34,6896.59,67121.37
90,Employee_447,Engineering,DevOps Engineer,131328.68,10.81,1023.8,20541.98,17395.99,135498.47
91,Employee_66,Customer Support,Customer Success Manager,65321.41,0.46,21.67,9423.64,4832.17,69934.55
92,Employee_348,HR,Recruiter,69688.21,12.25,615.64,2301.25,7032.85,65572.25
93,Employee_122,Product,Product Manager,148996.86,12.63,1357.09,24330.02,16652.04,158031.93
94,Employee_85,Finance,Financial Analyst,81611.97,0.03,1.77,3201.49,7724.92,77090.31
95,Employee_489,Finance,Accountant,64463.64,10.42,484.41,8334.73,3611.61,69671.17
96,Employee_329,Sales,Sales Executive,117167.07,17.08,1443.18,6744.53,17404.79,107949.99
97,Employee_339,Customer Support,Customer Success Manager,79059.43,14.39,820.43,8139.63,11813.4,76206.09
98,Employee_10,Product,Product Manager,141596.14,10.08,1029.3,11823.04,19086.41,135362.07
99,Employee_39,Engineering,Data Scientist,103730.54,15.5,1159.49,16632.94,14971.95,106551.02
100,Employee_142,Customer Support,Customer Success Manager,83188.19,11.5,689.9,1786.21,6665.93,78998.37
101,Employee_21,Marketing,Marketing Manager,101228.5,18.43,1345.41,14368.81,8334.17,108608.55
102,Employee_220,Engineering,Software Engineer,144989.51,10.0,1045.6,11027.93,9618.21,147444.83
103,Employee_87,Sales,Account Manager,80684.32,10.7,622.59,13190.73,8001.6,86496.04
104,Employee_492,Finance,Accountant,60103.6,5.48,237.52,2472.03,6627.32,56185.83
105,Employee_95,Marketing,Marketing Manager,93792.09,15.44,1044.34,3293.2,8941.85,89187.78
106,Employee_303,Marketing,SEO Specialist,76712.93,2.16,119.5,11104.15,5460.56,82476.02
107,Employee_223,Engineering,Software Engineer,127177.16,0.2,18.34,18591.73,16127.9,129659.33
108,Employee_206,Product,UI/UX Designer,108796.85,11.56,906.99,19963.05,14774.57,114892.32
109,Employee_274,Finance,Financial Analyst,73212.96,15.5,818.37,5518.66,4928.94,74621.05
110,Employee_44,Marketing,SEO Specialist,62030.7,8.59,384.26,936.96,3443.46,59908.46
111,Employee_127,HR,Recruiter,72791.19,9.97,523.36,9524.93,7225.46,75614.02
112,Employee_358,Customer Support,Customer Success Manager,83781.65,3.55,214.49,3282.62,8698.9,78579.86
113,Employee_396,Sales,Sales Executive,98725.32,19.27,1371.95,18919.33,8094.83,110921.77
114,Employee_123,Product,Product Manager,133295.48,2.41,231.66,20727.39,19738.76,134515.77
115,Employee_244,Finance,Accountant,72753.72,18.81,986.9,1576.16,7268.08,68048.7
116,Employee_285,HR,Recruiter,71014.23,8.45,432.74,3426.57,4818.25,70055.29
117,Employee_460,HR,Recruiter,79689.64,15.05,864.9,7138.28,8892.7,78800.12
118,Employee_410,Engineering,Data Scientist,119515.16,4.22,363.72,18037.02,10220.81,127695.09
119,Employee_454,Customer Support,Support Specialist,60689.17,16.14,706.39,4533.78,4903.21,61026.13
120,Employee_201,Sales,Sales Executive,72501.2,16.76,876.29,10494.27,8097.2,75774.56
121,Employee_259,Customer Support,Customer Success Manager,89825.95,3.29,213.12,1295.93,6170.88,85164.12
122,Employee_109,Engineering,Data Scientist,137639.01,19.75,1960.36,26958.43,17856.32,148701.48
123,Employee_292,Customer Support,Support Specialist,62299.2,17.9,804.2,7884.03,3775.05,67212.38
124,Employee_422,Engineering,DevOps Engineer,115836.27,10.99,918.06,557.23,6322.21,110989.35
125,Employee_186,Product,Product Manager,117465.53,1.29,109.28,494.48,16029.75,102039.54
126,Employee_346,Engineering,Software Engineer,137223.05,10.42,1031.15,15942.44,14141.37,140055.27
127,Employee_72,Engineering,DevOps Engineer,122787.5,7.24,641.09,19245.87,12964.91,129709.55
128,Employee_153,Engineering,Software Engineer,107222.27,1.43,110.57,4993.75,15841.52,96485.07
129,Employee_48,Customer Support,Support Specialist,55796.53,16.23,653.06,8907.52,7185.8,58171.31
130,Employee_212,Finance,Financial Analyst,86256.69,18.03,1121.54,796.56,4567.05,83607.74
131,Employee_116,Product,UI/UX Designer,113572.05,1.04,85.18,5029.73,16408.92,102278.04
132,Employee_16,Sales,Sales Executive,111813.1,15.73,1268.38,15840.69,14961.64,113960.53
133,Employee_353,Finance,Accountant,82442.37,18.42,1095.14,15222.06,5126.33,93633.24
134,Employee_143,Product,UI/UX Designer,112938.48,11.08,902.42,19323.15,10247.3,122916.75
135,Employee_232,Marketing,Marketing Manager,76549.94,11.39,628.78,1740.63,6041.62,72877.73
136,Employee_425,Customer Support,Customer Success Manager,77596.42,6.21,347.51,11049.75,5747.61,83246.07
137,Employee_283,Finance,Financial Analyst,81940.75,1.24,73.27,8376.41,5444.04,84946.39
138,Employee_269,HR,HR Manager,72400.4,3.64,190.05,3835.48,10628.57,65797.36
139,Employee_130,Product,Product Manager,120880.4,1.06,92.4,12614.42,15149.86,118437.36
140,Employee_327,Product,Product Manager,124860.61,2.39,215.2,20026.71,13478.13,131624.39
141,Employee_25,HR,Recruiter,69642.3,1.36,68.3,9310.47,4692.41,74328.66
142,Employee_228,Product,Product Manager,135957.32,13.41,1314.8,4664.91,16776.73,125160.3
143,Employee_368,Product,Product Manager,131026.37,12.67,1197.19,12036.92,8234.39,136026.09
144,Employee_193,HR,Recruiter,62976.26,12.18,553.16,4631.7,8827.79,59333.33
145,Employee_460,HR,Recruiter,79689.64,10.38,596.52,14696.74,5460.96,89521.94
146,Employee_424,Engineering,Data Scientist,103085.29,12.97,964.19,18860.33,9181.11,113728.7
147,Employee_96,Sales,Account Manager,105616.84,17.95,1367.18,720.64,12220.61,95484.05
148,Employee_146,Finance,Financial Analyst,87008.47,19.53,1225.44,8028.78,5581.69,90681.0
149,Employee_237,Marketing,SEO Specialist,61916.05,3.89,173.69,5935.04,5992.65,62032.13
150,Employee_368,Product,Product Manager,131026.37,11.49,1085.69,16242.08,13194.7,135159.44
151,Employee_271,Marketing,Marketing Manager,96974.79,9.52,665.77,4703.51,9746.88,92597.19
152,Employee_66,Customer Support,Customer Success Manager,65321.41,12.87,606.26,4055.45,9763.79,60219.33
153,Employee_377,Product,UI/UX Designer,109223.29,7.22,568.7,12146.02,6243.64,115694.37
154,Employee_36,Sales,Sales Executive,93779.36,18.88,1276.84,16871.13,11523.27,100404.06
155,Employee_279,HR,HR Manager,87528.01,13.99,883.07,7870.48,7995.77,88285.79
156,Employee_297,Finance,Financial Analyst,92844.93,8.19,548.37,5808.09,9272.02,89929.37
157,Employee_81,Marketing,Marketing Manager,85981.08,1.08,66.97,9793.08,5508.41,90332.72
158,Employee_478,Sales,Account Manager,101398.85,11.34,829.23,2147.72,10647.48,93728.32
159,Employee_224,Engineering,Data Scientist,113824.7,2.76,226.55,12174.01,12639.51,113585.75
160,Employee_174,Finance,Accountant,66142.72,5.95,283.81,4715.27,3313.47,67828.33
161,Employee_40,Engineering,Software Engineer,123464.64,7.51,668.67,2545.16,12129.61,114548.86
162,Employee_333,Sales,Account Manager,106225.15,12.71,973.65,17494.43,13944.51,110748.72
163,Employee_81,Marketing,Marketing Manager,85981.08,13.3,824.67,14606.29,12706.13,88705.91
164,Employee_130,Product,Product Manager,120880.4,16.71,1456.67,13312.62,10210.7,125438.99
165,Employee_435,Product,Product Manager,118415.72,14.61,1247.63,16583.14,8917.72,127328.77
166,Employee_206,Product,UI/UX Designer,108796.85,12.47,978.39,16350.2,15071.84,111053.6
167,Employee_363,Engineering,DevOps Engineer,107611.44,12.88,999.54,8692.48,6305.92,110997.54
168,Employee_290,HR,HR Manager,83853.89,7.22,436.6,11947.35,8243.45,87994.39
169,Employee_178,Product,Product Manager,137275.37,8.83,874.14,13023.35,16632.87,134539.99
170,Employee_48,Customer Support,Support Specialist,55796.53,16.93,681.23,5748.37,4912.55,57313.58
171,Employee_278,Marketing,Marketing Manager,83559.78,2.63,158.48,15212.64,8482.34,90448.56
172,Employee_46,Customer Support,Support Specialist,54619.22,11.24,442.73,9162.85,6599.09,57625.71
173,Employee_359,HR,HR Manager,72819.02,0.52,27.31,9601.63,3897.02,78550.94
174,Employee_66,Customer Support,Customer Success Manager,65321.41,8.57,403.71,6410.37,7875.17,64260.32
175,Employee_86,Product,UI/UX Designer,98103.95,5.37,379.92,7183.25,10049.92,95617.2
176,Employee_81,Marketing,Marketing Manager,85981.08,2.45,151.91,3215.98,7749.59,81599.38
177,Employee_126,Engineering,DevOps Engineer,118802.64,8.11,694.82,20038.77,6221.08,133315.15
178,Employee_195,Finance,Financial Analyst,74309.51,11.31,606.09,14671.91,8988.13,80599.38
179,Employee_35,Finance,Financial Analyst,89294.54,10.26,660.69,1031.34,10104.21,80882.36
180,Employee_460,HR,Recruiter,79689.64,13.24,760.88,2587.32,9905.58,73132.26
181,Employee_267,Finance,Accountant,75095.24,14.82,802.58,11184.34,4277.4,82804.76
182,Employee_197,HR,Recruiter,76035.51,8.63,473.21,10167.92,7541.49,79135.15
183,Employee_286,Engineering,Data Scientist,142446.53,11.99,1231.68,14235.01,16919.86,140993.36
184,Employee_248,Engineering,Data Scientist,145613.28,2.37,248.87,1536.56,12406.12,134992.59
185,Employee_183,Marketing,SEO Specialist,89277.57,1.37,88.2,9558.86,12265.63,86659.0
186,Employee_80,HR,HR Manager,89721.21,2.01,130.05,3991.92,13350.49,80492.69
187,Employee_222,Marketing,SEO Specialist,87534.39,16.54,1044.1,1346.59,12967.1,76957.98
188,Employee_331,Engineering,Software Engineer,143104.09,18.57,1916.43,1817.88,14528.6,132309.8
189,Employee_21,Marketing,Marketing Manager,101228.5,8.18,597.15,6980.67,8587.23,100219.09
190,Employee_10,Product,Product Manager,141596.14,12.23,1248.84,11328.42,9760.48,144412.92
191,Employee_198,Sales,Sales Executive,75782.74,3.15,172.15,5985.4,6208.97,75731.32
192,Employee_151,Marketing,SEO Specialist,70649.29,0.79,40.25,12107.36,7086.75,75710.15
193,Employee_436,Sales,Account Manager,88877.79,6.71,430.07,8651.06,11948.31,86010.61
194,Employee_374,Customer Support,Customer Success Manager,74841.78,3.38,182.43,10937.25,8109.45,77852.01
195,Employee_247,Finance,Accountant,84445.3,18.48,1125.4,14562.57,10228.68,89904.59
196,Employee_112,Customer Support,Customer Success Manager,71894.09,8.03,416.33,12441.24,7005.29,77746.37
197,Employee_434,HR,Recruiter,72393.34,5.65,294.97,6671.54,10323.12,69036.73
198,Employee_141,Engineering,DevOps Engineer,130335.45,13.07,1228.47,20892.91,18230.58,134226.25
199,Employee_45,Marketing,SEO Specialist,78414.73,13.76,778.12,6059.26,8203.07,77049.04
200,Employee_325,Finance,Financial Analyst,75453.15,9.34,508.22,12988.51,9209.01,79740.87
201,Employee_355,HR,Recruiter,74244.99,14.7,787.07,13424.93,7100.17,81356.82
202,Employee_48,Customer Support,Support Specialist,55796.53,18.03,725.49,6323.89,8133.96,54711.95
203,Employee_441,HR,HR Manager,70181.8,10.53,532.94,3653.7,8145.59,66222.85
204,Employee_91,Customer Support,Customer Success Manager,79653.82,1.16,66.63,4846.31,8999.9,75566.86
205,Employee_170,Product,Product Manager,119576.64,3.34,288.02,12379.59,15917.08,116327.17
206,Employee_17,Product,UI/UX Designer,94594.4,9.43,643.29,13956.29,7127.59,102066.39
207,Employee_277,Customer Support,Customer Success Manager,88147.67,12.23,777.44,7003.47,7634.06,88294.52
208,Employee_31,Marketing,Marketing Manager,97052.22,3.67,256.86,8636.55,13745.66,92199.97
209,Employee_416,Product,UI/UX Designer,93593.77,14.51,979.36,7533.86,5621.7,96485.29
210,Employee_222,Marketing,SEO Specialist,87534.39,17.11,1080.08,3305.75,10025.02,81895.2
211,Employee_482,Finance,Accountant,83176.23,18.77,1125.88,3026.3,7950.95,79377.46
212,Employee_133,Customer Support,Customer Success Manager,86270.51,4.5,279.96,13600.68,9874.06,90277.09
213,Employee_372,Marketing,SEO Specialist,77627.79,17.51,980.24,4967.72,10216.39,73359.36
214,Employee_19,Engineering,DevOps Engineer,105789.24,4.3,328.05,8071.31,12752.06,101436.54
215,Employee_374,Customer Support,Customer Success Manager,74841.78,12.14,655.23,2816.39,8251.72,70061.68
216,Employee_252,Marketing,Marketing Manager,85853.56,9.89,612.33,3359.64,8582.75,81242.78
217,Employee_476,Product,Product Manager,148152.58,9.33,996.82,6618.04,14907.35,140860.09
218,Employee_438,Finance,Financial Analyst,77468.2,12.16,679.34,10096.96,8846.07,79398.43
219,Employee_6,Sales,Account Manager,102192.95,10.77,793.71,20384.22,7121.48,116249.4
220,Employee_161,HR,HR Manager,94480.35,18.76,1278.21,11622.27,6456.58,100924.25
221,Employee_78,Customer Support,Support Specialist,63373.08,11.93,545.22,1153.9,7653.04,57419.16
222,Employee_380,Engineering,Data Scientist,154624.44,3.57,398.08,6638.19,19402.65,142258.06
223,Employee_268,Sales,Sales Executive,73950.45,12.57,670.35,8445.58,9322.42,73743.96
224,Employee_273,Marketing,SEO Specialist,69302.94,14.61,730.18,4961.88,9008.19,65986.81
225,Employee_375,Customer Support,Support Specialist,54588.51,14.59,574.36,9224.44,2758.89,61628.42
226,Employee_334,Finance,Accountant,74067.85,6.72,358.94,6951.99,5515.58,75863.2
227,Employee_22,Sales,Sales Executive,75421.28,17.18,934.43,8971.54,10338.03,74989.22
228,Employee_352,Engineering,Software Engineer,112684.15,3.51,285.23,4552.17,14733.61,102787.94
229,Employee_280,Engineering,Software Engineer,98211.37,11.36,804.58,18224.18,7196.92,110043.21
230,Employee_492,Finance,Accountant,60103.6,19.8,858.21,4144.04,8160.43,56945.42
231,Employee_114,Product,UI/UX Designer,107065.21,0.81,62.54,2158.46,8683.97,100602.24
232,Employee_179,Marketing,SEO Specialist,63516.22,13.04,597.3,6618.75,3879.12,66853.15
233,Employee_320,Finance,Financial Analyst,79891.04,2.51,144.61,920.55,6901.22,74054.98
234,Employee_413,Customer Support,Customer Success Manager,77506.76,8.69,485.72,8147.77,7490.56,78649.69
235,Employee_287,HR,Recruiter,78996.5,4.67,266.04,2655.53,11694.49,70223.58
236,Employee_14,Customer Support,Support Specialist,69359.67,16.17,808.81,10238.53,9546.57,70860.44
237,Employee_265,HR,Recruiter,79732.32,17.08,982.09,13918.52,8003.55,86629.38
238,Employee_265,HR,Recruiter,79732.32,5.38,309.35,1962.93,6380.22,75624.38
239,Employee_172,Marketing,Marketing Manager,76977.31,15.04,834.91,8145.49,6225.42,79732.29
240,Employee_466,Finance,Financial Analyst,87608.51,13.09,827.02,12305.09,11556.62,89184.0
241,Employee_33,HR,HR Manager,96685.83,10.53,734.21,9390.77,14166.69,92644.12
242,Employee_343,Product,UI/UX Designer,99650.03,0.16,11.5,3263.38,8570.16,94354.75
243,Employee_155,Finance,Financial Analyst,72645.62,14.61,765.4,4310.91,4305.9,73416.03
244,Employee_304,Finance,Accountant,63297.68,5.75,262.47,97.42,8164.03,55493.54
245,Employee_370,Finance,Accountant,82967.03,0.36,21.54,16419.07,8319.68,91087.96
246,Employee_415,Engineering,DevOps Engineer,115025.91,5.09,422.22,16811.93,15078.46,117181.6
247,Employee_17,Product,UI/UX Designer,94594.4,19.53,1332.28,87.49,7755.95,88258.22
248,Employee_29,Product,UI/UX Designer,106964.69,18.05,1392.34,6764.36,10025.64,105095.75
249,Employee_472,Customer Support,Support Specialist,50113.75,0.42,15.18,3756.14,2592.81,51292.26
250,Employee_98,HR,Recruiter,62200.22,7.25,325.21,2198.19,3724.57,60999.05
251,Employee_177,Finance,Financial Analyst,94073.37,2.32,157.39,7343.88,8351.74,93222.9
252,Employee_500,Sales,Sales Executive,98947.75,14.86,1060.36,18815.59,5392.24,113431.46
253,Employee_314,HR,Recruiter,70744.29,13.82,705.06,2397.72,6854.63,66992.44
254,Employee_165,Product,UI/UX Designer,83457.92,2.42,145.65,194.25,11222.77,72575.05
255,Employee_330,Product,Product Manager,137055.41,0.26,25.7,11307.48,10057.02,138331.57
256,Employee_343,Product,UI/UX Designer,99650.03,4.27,306.86,7617.77,9561.85,98012.81
257,Employee_187,Product,UI/UX Designer,96225.14,14.31,993.02,7997.13,13122.82,92092.47
258,Employee_400,Engineering,Software Engineer,135118.26,10.51,1024.11,8129.36,9628.38,134643.35
259,Employee_478,Sales,Account Manager,101398.85,4.18,305.66,17876.63,12743.0,106838.14
260,Employee_17,Product,UI/UX Designer,94594.4,5.57,379.97,2581.9,10717.67,86838.6
261,Employee_262,HR,Recruiter,75192.06,5.21,282.51,8990.36,4661.64,79803.29
262,Employee_421,Engineering,Data Scientist,100666.63,4.42,320.87,4262.14,12240.43,93009.21
263,Employee_400,Engineering,Software Engineer,135118.26,2.95,287.45,16867.04,14969.43,137303.32
264,Employee_323,Engineering,Software Engineer,118872.17,9.32,798.96,19069.62,15117.41,123623.34
265,Employee_20,Marketing,Marketing Manager,100733.96,1.52,110.42,2220.74,5520.72,97544.4
266,Employee_148,HR,Recruiter,73983.8,16.9,901.68,8946.34,4075.07,79756.75
267,Employee_166,Marketing,Marketing Manager,105627.26,12.6,959.79,17771.2,13044.83,111313.42
268,Employee_167,Sales,Account Manager,94833.76,11.93,815.89,5943.67,5044.41,96548.91
269,Employee_473,Engineering,DevOps Engineer,101857.34,18.29,1343.49,7899.4,12221.96,98878.27
270,Employee_352,Engineering,Software Engineer,112684.15,13.43,1091.36,2245.29,8994.48,107026.32
271,Employee_363,Engineering,DevOps Engineer,107611.44,9.91,769.06,1262.0,9590.51,100051.99
272,Employee_185,Customer Support,Support Specialist,60047.4,5.55,240.33,4951.56,4532.12,60707.17
273,Employee_345,Product,Product Manager,135486.09,4.98,486.58,17852.44,11158.84,142666.27
274,Employee_70,Customer Support,Support Specialist,63171.57,0.09,4.1,6105.79,4199.98,65081.48
275,Employee_45,Marketing,SEO Specialist,78414.73,19.17,1084.05,12770.35,6323.69,85945.44
276,Employee_356,Marketing,Marketing Manager,108512.57,12.56,982.87,4508.63,8761.23,105242.84
277,Employee_409,Product,Product Manager,131071.69,11.98,1132.38,6855.42,18190.16,120869.33
278,Employee_404,Sales,Account Manager,100088.29,19.96,1440.69,1615.69,6582.77,96561.9
279,Employee_474,Finance,Financial Analyst,93360.52,0.38,25.58,13827.9,9754.39,97459.61
280,Employee_365,Marketing,SEO Specialist,67548.02,16.22,790.12,7433.35,5868.48,69903.01
281,Employee_113,Marketing,SEO Specialist,79911.38,18.24,1051.14,13206.58,10084.25,84084.85
282,Employee_204,Sales,Sales Executive,104541.17,1.34,101.02,15254.3,9539.45,110357.04
283,Employee_267,Finance,Accountant,75095.24,6.93,375.3,2856.81,6138.12,72189.23
284,Employee_306,Finance,Accountant,78102.53,4.15,233.74,5717.93,7251.69,76802.51
285,Employee_165,Product,UI/UX Designer,83457.92,19.76,1189.28,4723.94,5700.67,83670.47
286,Employee_445,HR,Recruiter,79579.27,9.2,527.98,4905.74,4285.14,80727.85
287,Employee_271,Marketing,Marketing Manager,96974.79,0.89,62.24,5139.62,8967.55,93209.1
288,Employee_156,Customer Support,Customer Success Manager,70001.96,14.4,726.94,3245.02,8586.77,65387.15
289,Employee_75,HR,HR Manager,95775.01,9.12,629.9,4290.82,6239.97,94455.76
290,Employee_33,HR,HR Manager,96685.83,17.5,1220.19,6195.97,7053.38,97048.61
